Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
129,9M4RPH-DMR,147.950000,-,0.60000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DMR,5.0,,4.0W,"9M4RPH-DMR near Penang Hill, None OPEN",,,,
130,9M4RWR,434.925000,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RWR near Raub - Benom Mountain, None OPEN",,,,
131,9M4RDM,434.975000,+,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RDM near Kuantan - Teruntum Complex, None OPEN",,,,
132,9M4RZA,439.275000,-,5.00000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RZA near Gunung Jerai, None OPEN",,,,
133,9M4RSE,439.725000,-,5.00000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DMR,5.0,,4.0W,"9M4RSE near Segamat - Bandar Segamat, None OPEN",,,,
134,9M4RPJ,439.750000,-,5.00000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,4.0W,"9M4RPJ near Shah Alam - MBSA, None OPEN",,,,
135,9M4RPJ-DMR,439.750000,-,5.00000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.0,,4.0W,"9M4RPJ-DMR near Shah Alam, None OPEN",,,,
136,V CHANNEL,145.500000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
137,V16,145.200000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
138,V17,145.212500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
139,V18,145.225000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
140,V19,145.237500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
141,V20,145.250000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
142,V21,145.262500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
143,V22,145.275000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
144,V23,145.287500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
145,V24,145.300000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
146,V25,145.312500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
147,V26,145.325000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
148,V27,145.337500,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
149,V28,145.350000,,0.00000,,,,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"",,,,
